dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=29 / highest_abundance,0.939,0.9453,-0.0063,0.4031,0.6659178082191781,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=58 / highest_abundance,0.939,0.9389,0.0001,0.9895,0.9964195804195805,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=87 / highest_abundance,0.939,0.9354,0.0036,0.7448,0.880551724137931,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.812,0.939,0.9425,-0.0036,0.5888,0.8143877159309022,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.848,0.939,0.9358,0.0032,0.7383,0.8769078947368423,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.883,0.939,0.932,0.007,0.5725,0.8035087719298245,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.919,0.939,0.919,0.02,0.2103,0.45883636363636365,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.954,0.939,0.9029,0.0361,0.0818,0.2558961038961039,False
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.138,0.9249,0.7446,0.1803,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.266,0.9249,0.827,0.0979,0.0007,0.0112,True
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.393,0.9249,0.8544,0.0705,0.0034,0.034,True
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.521,0.9249,0.8815,0.0434,0.0163,0.09541463414634145,False
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.649,0.9249,0.912,0.0129,0.2825,0.5453083109919571,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=1 / highest_abundance,0.9249,0.9218,0.0032,0.3794,0.6372837209302326,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=116 / highest_abundance,0.9249,0.9257,-0.0008,0.9563,0.9836228571428572,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=144 / highest_abundance,0.9249,0.9082,0.0167,0.2943,0.5532532637075719,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=173 / highest_abundance,0.9249,0.8952,0.0297,0.1575,0.378,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=202 / highest_abundance,0.9249,0.835,0.0899,0.0033,0.03346478873239436,True
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=231 / highest_abundance,0.9249,0.8216,0.1034,0.0006,0.010285714285714283,True
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=260 / highest_abundance,0.9249,0.8313,0.0936,0.0013,0.017018181818181818,True
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=29 / highest_abundance,0.9249,0.93,-0.0051,0.6045,0.8170786516853933,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=58 / highest_abundance,0.9249,0.9211,0.0038,0.7764,0.9001739130434783,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=87 / highest_abundance,0.9249,0.9334,-0.0085,0.4495,0.6975,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.812,0.9249,0.9218,0.0032,0.6477,0.8339679144385027,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.848,0.9249,0.9124,0.0126,0.228,0.48140762463343106,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.883,0.9249,0.9012,0.0237,0.0626,0.22312871287128713,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.919,0.9249,0.8758,0.0491,0.0065,0.05318181818181818,False
abundance_cirrhosis--stagediscovery,TabPFN,sparsity,0.954,0.9249,0.8094,0.1155,0.0001,0.0024827586206896553,True
abundance_cirrhosis--stagediscovery,XGBoost,densification,0.138,0.9233,0.8706,0.0526,0.0071,0.05496774193548387,False
abundance_cirrhosis--stagediscovery,XGBoost,densification,0.266,0.9233,0.8761,0.0472,0.0081,0.05832,False
abundance_cirrhosis--stagediscovery,XGBoost,densification,0.393,0.9233,0.8921,0.0312,0.0139,0.08410084033613445,False
